Player,Year,Pos,Age,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1980,C,32,LAL,82,38.3,10.2,16.9,0.0,0.0,10.2,16.9,4.4,5.8,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8
Tom Abernethy,1980,PF,25,GSW,67,18.2,2.3,4.7,0.0,0.0,2.3,4.7,0.8,1.2,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4
Alvan Adams,1980,C,25,PHO,75,28.9,6.2,11.7,0.0,0.0,6.2,11.6,2.5,3.1,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9
Tiny Archibald*,1980,PG,31,BOS,80,35.8,4.8,9.9,0.1,0.2,4.7,9.7,4.5,5.4,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1
Dennis Awtrey,1980,C,31,CHI,26,21.5,1.0,2.3,0.0,0.0,1.0,2.3,1.2,1.9,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3
Gus Bailey,1980,SG,28,WSB,20,9.0,0.8,1.8,0.1,0.1,0.8,1.7,0.3,0.7,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9
James Bailey,1980,PF,22,SEA,67,10.8,1.8,4.0,0.0,0.0,1.8,4.0,1.0,1.5,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7
Greg Ballard,1980,SF,25,WSB,82,29.7,6.6,13.4,0.2,0.6,6.5,12.9,2.1,2.8,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6
Mike Bantom,1980,SF,28,IND,77,30.3,5.0,9.9,0.0,0.0,5.0,9.8,1.8,2.7,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8
Marvin Barnes,1980,PF,27,SDC,20,14.4,1.2,3.0,0.0,0.0,1.2,3.0,0.8,1.6,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2
Rick Barry*,1980,SF,35,HOU,72,25.2,4.5,10.7,1.0,3.1,3.5,7.6,2.0,2.1,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0
Tim Bassett,1980,PF,28,TOT,12,13.7,1.0,2.8,0.0,0.0,1.0,2.8,0.8,1.3,0.9,1.8,2.8,1.2,0.7,0.0,0.8,2.3,2.8
Tim Bassett,1980,PF,28,NJN,7,13.1,1.1,3.1,0.0,0.0,1.1,3.1,1.1,1.7,1.0,1.6,2.6,0.6,0.7,0.0,0.6,2.0,3.4
Tim Bassett,1980,PF,28,SAS,5,14.4,0.8,2.4,0.0,0.0,0.8,2.4,0.4,0.6,0.8,2.2,3.0,2.0,0.6,0.0,1.0,2.6,2.0
Billy Ray Bates,1980,SG,23,POR,16,14.7,4.5,9.1,0.5,1.2,4.0,7.9,1.8,2.4,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3
Ron Behagen,1980,PF,29,WSB,6,10.7,1.5,3.8,0.0,0.0,1.5,3.8,0.8,1.0,1.0,1.3,2.3,1.2,0.0,0.7,0.7,2.3,3.8
Kent Benson,1980,C,25,TOT,73,25.9,4.1,8.5,0.0,0.1,4.1,8.4,1.4,1.9,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6
Kent Benson,1980,C,25,MIL,56,24.8,3.8,7.7,0.0,0.0,3.8,7.7,1.2,1.7,1.7,4.2,5.9,2.3,1.0,1.3,1.9,3.2,8.8
Kent Benson,1980,C,25,DET,17,29.5,5.1,11.0,0.1,0.2,5.0,10.8,1.9,2.6,1.8,5.3,7.1,3.0,1.1,1.1,3.0,4.0,12.1
Del Beshore,1980,PG,23,CHI,68,12.8,1.3,3.7,0.1,0.4,1.1,3.3,0.9,1.3,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6
Henry Bibby,1980,PG,30,PHI,82,24.8,3.1,7.6,0.1,0.6,2.9,7.0,2.8,3.5,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0
Larry Bird*,1980,PF,23,BOS,82,36.0,8.5,17.8,0.7,1.7,7.7,16.1,3.7,4.4,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3
Otis Birdsong,1980,SG,24,KCK,82,35.2,9.5,18.9,0.1,0.4,9.4,18.4,3.5,5.0,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7
Ron Boone,1980,SG,33,TOT,81,29.5,5.0,11.3,0.2,0.6,4.8,10.7,2.2,2.4,0.7,2.1,2.8,3.8,1.2,0.0,2.4,2.9,12.4
Ron Boone,1980,SG,33,LAL,6,17.7,2.3,6.7,0.0,0.0,2.3,6.7,1.0,1.2,0.7,1.2,1.8,1.2,0.8,0.0,2.2,2.2,5.7
